epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1163.33,1.88883,2.44648,1.93951,0.31819,0.28,0.19553,0.06344,2.73252,2.80611,2.74452,0.000665377,0.000665377,0.000665377
2,2349.64,1.94009,2.32473,1.99384,0.20693,0.33422,0.27896,0.10466,2.13292,3.02423,2.25096,0.00124413,0.00124413,0.00124413
3,3410.64,1.9072,2.26215,1.95579,0.41772,0.51663,0.40796,0.11445,2.17977,2.61266,2.2139,0.00173488,0.00173488,0.00173488
4,4335.44,1.84938,2.1895,1.90773,0.58675,0.4,0.45279,0.20542,2.23028,1.96315,2.23877,0.001604,0.001604,0.001604
5,5260.68,1.77995,2.03214,1.85198,0.53842,0.56,0.46267,0.18095,2.17424,1.97358,2.05857,0.001472,0.001472,0.001472
6,6218.49,1.80108,1.97196,1.92771,0.75937,0.48,0.5548,0.20579,2.17987,1.94815,2.14532,0.00134,0.00134,0.00134
7,7398.88,1.73795,1.88053,1.8763,0.67278,0.56,0.52321,0.20249,2.0701,2.16176,2.15172,0.001208,0.001208,0.001208
8,8651.27,1.70823,1.77005,1.84978,0.68425,0.6,0.61059,0.24309,1.97775,1.81644,2.03488,0.001076,0.001076,0.001076
9,9735.03,1.67346,1.6835,1.82084,0.79758,0.68,0.71648,0.28136,2.00839,1.88793,1.95322,0.000944,0.000944,0.000944
10,10695.1,1.62724,1.59623,1.76762,0.76968,0.6,0.61737,0.22469,2.10803,2.01935,2.18577,0.000812,0.000812,0.000812
11,11562.8,1.60069,1.50512,1.75424,0.79338,0.6,0.60617,0.23327,2.01194,1.69078,2.10347,0.00068,0.00068,0.00068
12,12398.9,1.5653,1.45696,1.73534,0.87315,0.68,0.78207,0.33835,2.06284,1.37246,1.95118,0.000548,0.000548,0.000548
13,13221.9,1.5223,1.38504,1.69089,0.73791,0.78864,0.76407,0.31156,1.98681,1.39788,1.94328,0.000416,0.000416,0.000416
14,14105.2,1.49875,1.32519,1.66481,0.9543,0.64,0.81167,0.32044,1.99599,1.46017,1.95507,0.000284,0.000284,0.000284
15,15111.1,1.47144,1.27323,1.64653,0.80582,0.76,0.8153,0.35172,1.91251,1.30328,1.84413,0.000152,0.000152,0.000152
